Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
patmcgrathreal,gd,male,,1858942,10264,195,1.0
chloexhalle,en,female,,920741,72318,1002,8.0
dualipa,en,male,,8574464,828707,4107,10.0
jinjiiiindao,ja,unknown,,8512,714,18,9.0
sekakura_tbs,unknown,unknown,,593,198,3,34.0
mounir,en,unknown,,3642537,76175,1434,2.0
off____white,en,male,,3207621,57907,282,2.0
olivertree,en,male,,156341,26344,1265,18.0
katorishingo_official,unknown,unknown,,1471871,132567,2673,9.0
galore,en,unknown,,488722,5202,52,1.0
tealecoco,en,unknown,,190393,5810,105,3.0
sirjohnofficial,en,male,,212212,3287,86,2.0
reesewitherspoon,unknown,female,,12669680,240444,2064,2.0
__doublet__,en,male,,30491,897,7,3.0
hotdudesreading,en,male,,996201,39863,472,4.0
bonjinmame,ja,unknown,,185679,10377,62,6.0
leaelui,en,female,,3401951,619198,9771,18.0
szalookbook,en,male,,3124,316,3,10.0
younggoth,en,male,,2756440,307561,1950,11.0
von50s,en,unknown,,8601,216,2,3.0
uniquevintage,en,male,,245924,2846,22,1.0
rie_tomosaka_official,ja,unknown,,66574,5379,119,8.0
suzu.hirose.official,unknown,unknown,,1135073,130877,822,12.0
yukaitaya,ja,unknown,,442253,18506,83,4.0
papermagazine,en,male,,1131023,17870,192,2.0
sonnyphotos,en,male,,12163,241,2,2.0
iamcardib,en,male,,20453992,696566,12204,3.0
oliversigns,en,male,,31997,176,2,1.0
345insta,ja,male,,569620,44171,402,8.0
amine,en,male,,537065,96415,889,18.0
annettelabedzki,en,unknown,,904244,9062,51,1.0
satisfrandom,en,unknown,,50894,214,2,0.0
buruzon333,unknown,female,,1692546,80368,281,5.0
shimizu_taimu,ja,unknown,,1078,140,11,14.000000000000002
yujiayabe,en,unknown,,571026,42540,588,8.0
kaiagerber,en,unknown,,3167878,232393,938,7.000000000000001
duckieofficial,unknown,unknown,,813374,89283,1146,11.0
sza,pl,male,,3866148,379448,3984,10.0
simonedelloro,unknown,unknown,,622,51,3,9.0
giulianocalza,st,male,,56982,1045,4,2.0
ninagawamika,da,unknown,,390411,7192,15,2.0
tomitakazunari,ja,male,,180,14,0,8.0
